image_id,label
0,7
1,6
2,4
3,4
4,4
5,8
6,0
7,1
8,0
9,4
10,2
11,9
12,2
13,2
14,6
15,8
16,4
17,0
18,1
19,1
20,6
21,2
22,4
23,7
24,9
25,8
26,3
27,4
28,8
29,9
30,2
31,8
32,2
33,1
34,6
35,2
36,7
37,4
38,8
39,2
40,4
41,6
42,3
43,4
44,2
45,4
46,2
47,3
48,7
49,6
50,9
51,4
52,3
53,8
54,7
55,6
56,8
57,4
58,3
59,4
60,0
61,8
62,4
63,2
64,9
65,8
66,0
67,8
68,8
69,4
70,6
71,2
72,6
73,7
74,1
75,0
76,8
77,1
78,8
79,0
80,2
81,2
82,7
83,3
84,4
85,8
86,2
87,4
88,4
89,2
90,3
91,4
92,1
93,2
94,3
95,2
96,0
97,8
98,4
99,2
100,4
101,8
102,3
103,0
104,9
105,2
106,4
107,3
108,2
109,2
110,7
111,6
112,0
113,7
114,8
115,2
116,2
117,3
118,8
119,0
120,4
121,4
122,3
123,7
124,4
125,4
126,2
127,9
128,9
129,7
130,4
131,8
132,2
133,1
134,4
135,4
136,8
137,0
138,2
139,8
140,2
141,8
142,4
143,4
144,7
145,4
146,4
147,3
148,2
149,8
150,6
151,8
152,4
153,8
154,8
155,2
156,4
157,7
158,8
159,8
160,6
161,4
162,4
163,0
164,3
165,8
166,8
167,8
168,3
169,4
170,6
171,8
172,8
173,4
174,7
175,8
176,3
177,2
178,2
179,4
180,0
181,7
182,2
183,0
184,4
185,8
186,8
187,1
188,9
189,4
190,3
191,8
192,2
193,6
194,1
195,4
196,4
197,7
198,6
199,4
200,8
201,6
202,7
203,2
204,4
205,2
206,7
207,2
208,4
209,2
210,8
211,3
212,4
213,2
214,2
215,6
216,6
217,4
218,2
219,2
220,4
221,8
222,6
223,0
224,4
225,0
226,8
227,9
228,4
229,2
230,2
231,6
232,2
233,9
234,6
235,4
236,1
237,7
238,6
239,1
240,4
241,3
242,2
243,8
244,1
245,4
246,9
247,4
248,4
249,4
250,2
251,6
252,2
253,0
254,4
255,8
256,4
257,8
258,8
259,8
260,0
261,2
262,3
263,2
264,7
265,3
266,4
267,4
268,1
269,7
270,4
271,6
272,3
273,6
274,6
275,4
276,9
277,8
278,2
279,8
280,2
281,8
282,6
283,4
284,2
285,2
286,8
287,6
288,2
289,4
290,4
291,4
292,6
293,0
294,2
295,9
296,6
297,8
298,9
299,4
300,8
301,2
302,8
303,8
304,8
305,4
306,9
307,8
308,4
309,0
310,8
311,7
312,0
313,4
314,1
315,2
316,4
317,0
318,8
319,6
320,2
321,4
322,0
323,6
324,4
325,2
326,0
327,6
328,3
329,4
330,1
331,3
332,0
333,2
334,9
335,8
336,4
337,2
338,8
339,2
340,6
341,7
342,2
343,0
344,4
345,8
346,1
347,6
348,2
349,6
350,9
351,8
352,0
353,9
354,4
355,2
356,8
357,2
358,4
359,4
360,4
361,1
362,3
363,2
364,4
365,2
366,7
367,4
368,2
369,2
370,4
371,3
372,2
373,4
374,4
375,7
376,8
377,3
378,8
379,2
380,4
381,4
382,0
383,0
384,4
385,0
386,2
387,8
388,7
389,6
390,4
391,6
392,8
393,8
394,7
395,4
396,2
397,2
398,6
399,8
400,3
401,3
402,4
403,2
404,9
405,8
406,7
407,4
408,2
409,8
410,8
411,0
412,2
413,9
414,7
415,4
416,8
417,2
418,4
419,7
420,4
421,4
422,8
423,4
424,8
425,7
426,4
427,8
428,7
429,2
430,8
431,8
432,4
433,3
434,1
435,2
436,4
437,4
438,6
439,4
440,4
441,2
442,2
443,3
444,0
445,2
446,3
447,3
448,2
449,8
450,2
451,8
452,4
453,2
454,2
455,4
456,2
457,8
458,2
459,0
460,7
461,7
462,2
463,8
464,3
465,8
466,8
467,0
468,3
469,3
470,0
471,3
472,9
473,0
474,8
475,3
476,6
477,6
478,0
479,1
480,6
481,3
482,8
483,6
484,1
